coords,timestamp,filename
"100.51974,13.74059",2021-12-10 05:01:04.955289+00,image_0.jpg
"100.56510,13.75622",2022-01-23 05:02:21.192696+00,image_1.jpg
"100.47124,13.69833",2022-05-26 00:41:04.314959+00,image_2.jpg
