ticket_id,photo,lat,long,timestamp,type,subdistrict,district,car_count
2022-8DTYX7,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/a9843d060aea3decd9a3dea12e548fc6e4072356.jpg,13.775,100.62911,2022-05-30 00:40:26.874045+00:00,"{จราจร,ถนน}",แขวงคลองจั่น,เขตบางกะปิ,3
2022-HKCLPW,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/f9cb86ca6f6cad6c4833dc9f3b390b69f635a28c.jpg,13.8386,100.71423,2022-05-30 00:44:41.900108+00:00,"{คลอง,ถนน,เสียงรบกวน,จราจร}",แขวงบางชัน,เขตคลองสามวา,2
2022-4W7U3A,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/362912ebf4a7a5c496b0c8b86b0731b7e782744e.jpg,13.80429,100.72505,2022-05-30 01:04:52.119705+00:00,"{จราจร,ถนน}",แขวงมีนบุรี,เขตมีนบุรี,3
2022-AKQLFQ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b6509dd3b4596c71e40085e9d58f9d5710a07d96.jpg,13.61998,100.51133,2022-05-30 01:12:08.876955+00:00,{จราจร},แขวงทุ่งครุ,เขตทุ่งครุ,6
2022-9PXWBY,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/5c63fc5867226eb91eb80467de79309c6982af38.jpg,13.70592,100.34661,2022-05-30 01:55:20.554902+00:00,{จราจร},แขวงหนองค้างพลู,เขตหนองแขม,8
2022-3KHCQA,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b79f81db1a4f24ccea260bd43f0f2beb8eacbc86.jpg,13.70592,100.34661,2022-05-30 01:55:30.435891+00:00,{จราจร},แขวงหนองค้างพลู,เขตหนองแขม,8
2022-4993RU,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/067fbbd4c085b1d93ed0c6ff5ce90b70e6f48b46.jpg,13.74028,100.71632,2022-05-30 02:01:33.746021+00:00,"{จราจร,ถนน,ทางเท้า,ความปลอดภัย}",แขวงคลองสองต้นนุ่น,เขตลาดกระบัง,1
2022-DZ7G27,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/fd0f7f57cae818fa70f93517827af0b99ffa9fa3.jpg,13.72094,100.5309,2022-05-30 03:55:30.591878+00:00,"{ถนน,จราจร}",แขวงทุ่งมหาเมฆ,เขตสาทร,22
2022-EGKZYX,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/08a34b21f80db03855322d089d48e9a35d9fd4ce.jpg,13.92637,100.65574,2022-05-30 04:02:50.926277+00:00,{จราจร},แขวงสายไหม,เขตสายไหม,5
2022-9PZ34D,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/d2d74e67ec7b76a64ffdc80542134f606232a5d9.jpg,13.82442,100.67748,2022-05-30 04:42:49.492379+00:00,{จราจร},แขวงคันนายาว,เขตคันนายาว,8
2022-FKXZUT,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/f1347af9311a6102382e0319412fbc63fbc233c1.jpg,13.71498,100.48929,2022-05-30 07:39:41.081244+00:00,{จราจร},แขวงบุคคโล,เขตธนบุรี,11
2022-EBXV2V,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/d3944789e7222ea6762452599202010970fb15f0.jpg,13.71504,100.48946,2022-05-30 07:52:58.921303+00:00,{จราจร},แขวงสำเหร่,เขตธนบุรี,11
2022-4RTPCC,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/9d6ad4c7d2c983c6a8719af22d68b941e93ed15e.jpg,13.71935,100.51203,2022-05-30 08:13:00.867887+00:00,"{จราจร,สะพาน}",แขวงคลองต้นไทร,เขตคลองสาน,7
2022-TBKPHK,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/0c2e6a003c07a1efd94eacba23a5ea5f6f129291.jpg,13.69589,100.60601,2022-05-30 09:06:50.144445+00:00,{จราจร},แขวงบางจาก,เขตพระโขนง,4
2022-F7RCWZ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/0e0f3f8536c745c22481fa8ed768218534939b96.jpg,13.68438,100.61049,2022-05-30 09:43:45.036889+00:00,"{ต้นไม้,จราจร}",แขวงบางจาก,เขตพระโขนง,8
2022-83GTYF,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/ea7420d645eb1eb864bd881770fcf3cf3e4744bb.jpg,13.68438,100.6105,2022-05-30 09:45:58.897290+00:00,"{จราจร,ต้นไม้}",แขวงบางจาก,เขตพระโขนง,8
2022-4Z8T8D,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/cf0f588f2e7552e529e258f41b4a491593ee772a.jpg,13.75154,100.6225,2022-05-30 12:01:45.094271+00:00,"{จราจร,น้ำท่วม,ถนน,ท่อระบายน้ำ}",แขวงหัวหมาก,เขตบางกะปิ,1
2022-HYBD78,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/97107d17b1d7168f745ee18dd2f267e68eea0497.jpg,13.89115,100.60658,2022-05-30 12:16:16.192325+00:00,{จราจร},แขวงอนุสาวรีย์,เขตบางเขน,4
